definiendum,,tenses,sanskrit,english1,english2,english-others,definition-tibetan,definition-english,divisions-tibetan,divisions-english,synonyms-tibetan,synonyms-english,comments,example-tibetan1,example-tibetan2,example-tibetan3,example-tibetan4,example-tibetan5,example-tibetan6,example-english1,example-english2,example-english3,example-english4,example-english5,example-english6
mchog 'dzin byed ,མཆོག་འཛིན་བྱེད་,gzung  'dzin  bzung  zungs ,{C}parāmṛśati (=mā rūpa-ādy-abhiniveṣa-yogena grahīr ity),,,{C}misconstrue as; adhere to; handle,,,,,,,,,,,,,,,,,,,
mchog rab ,མཆོག་རབ་,,{MSA}pravara,supreme; best; highest,,,,,,,,,,,,,,,,,,,,,
mchog la ,མཆོག་ལ་,,{C}para,supreme; best; superior,,{C}others; (the) other; another; foreign; beyond; further; utmost; outshines them all,,,,,,,,,,,,,,,,,,,
mchog la skyabs su 'gro ba ,མཆོག་ལ་སྐྱབས་སུ་འགྲོ་བ་,,{MSA}śaraṇa-pragata,go for refuge to the supreme,,,,,,,,,,,,,,,,,,,,,
mchong ,མཆོང་,mchong / mchong / mchongs/ mchongs/,{MV}prakṣip-: {MV}prakṣipet,jump,,,,,,,,,,,,,,,,,,,,,
mchong bar byed cing ,མཆོང་བར་བྱེད་ཅིང་,,{C}upakṣipeya(?),,,{C}would jump off(?),,,,,,,,,,,,,,,,,,,
mchongs ,མཆོངས་,mchong / mchong / mchongs/ mchongs/,{C}osariyi,jump,,{C}jump down to,,,,,,,,,,,,,,,,,,,
mchod ,མཆོད་,,{MV}pūjana; {MV}pūjanā; {MV}pūja,offering; offer,,,,,,,,,,,,,,,,,,,,,
mchod brjod ,མཆོད་བརྗོད་,brjod  rjod  brjod  rjod ,,expression of worship,,,,,,,,,,,,,,,,,,,,,
mchod brjod pa ,མཆོད་བརྗོད་པ་,brjod  rjod  brjod  rjod ,,expression of worship,,,,,,,,,,,,,,,,,,,,,
mchod nyid ,མཆོད་ཉིད་,,{C}pujyata; {C}śreṣṭhatā,offering,,{C}excellence; is worthy of being worshipped,,,,,,,,,,,,,,,,,,,
mchod rten ,མཆོད་རྟེན་,,{C}stūpa,reliquary; basis for worship,,,,,,,,,,,,,,,,,,,,,
mchod rten du gyur par byas pa ,མཆོད་རྟེན་དུ་གྱུར་པར་བྱས་པ་,,{C}caitya-bhūta,reliquary; build a reliquary,,{C}a true shrine,,,,,,,,,,,,,,,,,,,
mchod pa ,མཆོད་པ་,,"{LCh,C,L,MV,MSA}pūjā; {MSA,MV}pūjana; {MV}pūjanā",offering; offer; revere; honor; please through offering; worship,,,,,,,,,,,,,,,,,,,,,
mchod pa sngon du byas te ,མཆོད་པ་སྔོན་དུ་བྱས་ཏེ་,,{C}pūjā-pūrvaṅgamam,previously offered,,{C}worshipped,,,,,,,,,,,,,,,,,,,
mchod pa thams cad kyi cho ga rgyas pa'i snod ,མཆོད་པ་ཐམས་ཅད་ཀྱི་ཆོ་ག་རྒྱས་པའི་སྣོད་,,{C} Sarva-pūja-vidhi-vistara-bhajana,,,{C}p.n. of a Buddha,,,,,,,,,,,,,,,,,,,
mchod pa dang ldan pa'i theg pa chen po'i chos ,མཆོད་པ་དང་ལྡན་པའི་ཐེག་པ་ཆེན་པོའི་ཆོས་,,{MSA}pūjopasaṃhita-mahāyāna-dharma,great vehicle doctrines connected with offerings,,,,,,,,,,,,,,,,,,,,,
mchod pa bya bar 'os par 'gyur ,མཆོད་པ་བྱ་བར་འོས་པར་འགྱུར་,,{C}pūjanīya,worthy of offerings; worthy of reverence; worthy one,,{C}worthy of being worshipped; worthy of worship,,,,,,,,,,,,,,,,,,,
mchod pa byed pa ,མཆོད་པ་བྱེད་པ་,,{C}pūjayati,offers; revere,,{C}worships,,,,,,,,,,,,,,,,,,,
mchod pa dbul ba ,མཆོད་པ་དབུལ་བ་,,,offer offerings; offer worship,,,,,,,,,,,,,,,,,,,,,
mchod pa yang byed ,མཆོད་པ་ཡང་བྱེད་,,{L}pūjayati,offer; revere,,,,,,,,,,,,,,,,,,,,,
mchod pa la sogs pa rnyed ,མཆོད་པ་ལ་སོགས་པ་རྙེད་,,{MSA}pūjādi-lābha,obtain offerings and so forth,,,,,,,,,,,,,,,,,,,,,
mchod pa legs par bshams ,མཆོད་པ་ལེགས་པར་བཤམས་,,,layout of offerings,,,,,,,,,,,,,,,,,,,,,
mchod pa'i cho ga ,མཆོད་པའི་ཆོ་ག་,,{C}pūja-vidhi,rite of offering; rules for offering,,{C}ritual for worship,,,,,,,"SW added ""rite of offering"". ""Rules of offering"" sounds Vedic-where is it from?",,,,,,,,,,,,
mchod par bgyis par 'gyur ,མཆོད་པར་བགྱིས་པར་འགྱུར་,,{C}pūjita,,,{C}worshipped,,,,,,,,,,,,,,,,,,,
mchod par brjod pa'i ngag ,མཆོད་པར་བརྗོད་པའི་ངག་,brjod  rjod  brjod  rjod ,,a statement of speech expressing worship,,,,,,,,,,,,,,,,,,,,,
mchod par brjod pa'i yul ,མཆོད་པར་བརྗོད་པའི་ཡུལ་,brjod  rjod  brjod  rjod ,,object of expression of worship{Lati},,,,,,,,,,,,,,,,,,,,,
mchod par bya ba ,མཆོད་པར་བྱ་བ་,,{C}pūjita; {MSA}pūjya,having offered; offering; worshipped,,,,,,,,,,,,,,,,,,,,,
mchod par byed pa ,མཆོད་པར་བྱེད་པ་,,{C}pūjayati,offer; worship,,,,,,,,,,,,,,,,,,,,,
mchod byed ,མཆོད་བྱེད་,,yang dag mchod byed = {MSA}saṃmānayati (sam √man),offer; worship; revere,,,,,,,,,,,,,,,,,,,,,
mchod sbyin ,མཆོད་སྦྱིན་,,{LCh}yajña; {LG}yajñadatta,sacrifice; Yajñadatta [p.n.],,,,,,,,,,,,,,,,,,,,,
mchod 'os ,མཆོད་འོས་,,,worthy one; Arhat; the founder of Jainism,,,,,,,,,,,,,,,,,,,,,
'chag ,འཆག་,bcag 'chag bcags/ chogs/,{C}saṃkramam,,,{C}walking; coming,,,,,,,,,,,,,,,,,,,
'chag pa ,འཆག་པ་,bcag 'chag bcags/ chogs/,{C}saṃkramam,,,{C}walking; coming,,,,,,,,,,,,,,,,,,,
'chag pa la dad cher mi 'gyur ,འཆག་པ་ལ་དད་ཆེར་མི་འགྱུར་,,{C}(na) caṃkramaṇa-śīla (bhavati),,,{C}does not walk about a great deal,,,,,,,,,,,,,,,,,,,
'chags ,འཆགས་,gshags/ 'chags/ bshags/ 'chags/,vivarta; so sor 'chags pa = {MSA}pratideśanā,to confess; reveal [non-virtue],,,,,,,,,,,,,,,,,,,,,
'chags pa ,འཆགས་པ་,gshags/ 'chags/ bshags/ 'chags/,vivarta,to confess; to reveal [non-virtue],,,,,,,,,,,,,,,,,,,,,
'chags pa'i dus ,འཆགས་པའི་དུས་,,{MSA}vivarta-kāla,time of confession,,,,,,,,,,,,,,,,,,,,,
'chags par byed pa ,འཆགས་པར་བྱེད་པ་,,{C}pratideśayati (=gṛhīta-bodhicitta-parityāgāt = pratyāpatti-balāt = kṛta-pāpadeśanān),confess; reveal,,{C}confesses his error; see their error,,,,,,,,,,,,,,,,,,,
'chang ba ,འཆང་བ་,bcang / 'chang / bcangs/ chongs/,{C}dhārayanti; {MSA}dhārana,,,{C}bear in mind,,,,,,,,,,,,,,,,,,,
'chad ,འཆད་,'chad / 'chad / chad / chad [to be cut] or bshad / 'chad / bshad / shod [to explain]    {T},{MV}upadiś-; {MV}upadiśyante; {MSA}deśanā; {C}bhāṣate (=abhasate); sūcatī (=sūcayati); {MV}prakāśana; so sor 'chad par byed pa = {MSA}pratideśaka,(1) to be cut; (2) to explain; to comment,,{C}teaches; speaks; says; declares; indicate ,,,,,,,,nam mkha' ma zad kyi bar du skad cig kyang rgyun mi 'chad pa'i longs spyod rdzogs pa'i sku ,dgong pa 'chad tshul yod de ,,,,,the Complete Enjoyment Body of which the continuum is not cut even for a moment as long as the sky remains{PGP-101},a way that explains the thought [of Buddha],,,,
'chad 'gyur ltar ,འཆད་འགྱུར་ལྟར་,bshad  'chad  bshad  shod ,,as will be explained,,,,,,,,,,,,,,,,,,,,,
'chad pa ,འཆད་པ་,'chad / 'chad / chad / chad [to be cut] or bshad / 'chad / bshad / shod [to explain]    {T},{C}bhāṣyati; {C}sūcanā; {L}samuccitti; {C}ucchinna; {MV}prakāśana; {MV}vaktṛ,(1) to be cut; (2) to explain; to comment,,{C}teaches; indication; interrupt; cut off; perserve; carries; {GD:247} [critical] explanation ,,,,,,,,,,,,,,,,,,,
'chad pa'i tshe ,འཆད་པའི་ཚེ་,bshad  'chad  bshad  shod ,,when explaining/setting forth,,{C}teaches; indication; interrupt; cut off; perserve; carries; {GD:278} theoretical explanation; {GD:528} critically speaking,,,,,,,,,,,,,,,,,,,
'chad par byed ,འཆད་པར་བྱེད་,bshad  'chad  bshad  shod ,{C}ācakṣīta; ( √diś): {MSA}deśyate; {C}deśika,explain; set forth,,{C}one who demonstrates,,,,,,,,,,,,,,,,,,,
'chad byed ,འཆད་བྱེད་,bshad  'chad  bshad  shod ,deśika{MSA},explainer; commentator,,,,,,,,,,,,,,,,,,,,,
'chad tshe ,འཆད་ཚེ་,bshad  'chad  bshad  shod ,{C}bhāṣyamāṇa,when explaining/setting forth,,{C}(is) being taught; {GD:260} point of view of critical examination,,,,,,,,,,,,,,,,,,,
'chad rigs pa ,འཆད་རིགས་པ་,,,suitable to explain/set forth,,,,,,,,,,,,,,,,,,,,,
'chab pa ,འཆབ་པ་,bcab/ 'chab/ bcabs/ 'chabs/,{C}mrakṣa,concealment,,{C}jealous; disparagement,,,,,,,"Comment: This is one of the twenty secondary afflictions (nye nyon nyi shu, upakleśa): (1) belligerence (khro ba, krodha); (2) resentment ('khon 'dzin, upanāha); (3) concealment ('chab pa, mrakṣa); (4) spite ('tshig pa, pradāsa); (5) jealousy (īrṣyā); (6) miserliness (mātsarya); (7) deceit (sgyu, māyā); (8) dissimulation (g.yo, śāṭhya); (9) haughtiness (rgyags pa, mada); (10) harmfulness (rnam par 'tshe ba, vihiṃsā); (11) non-shame (ngo tsha med pa, āhrīkya); (12) non-embarrassment (khrel med, anapatrāpya); (13) lethargy (rmugs pa, styāna); (14) excitement (rgod pa, auddhatya); (15) non-faith (ma dad pa, āśraddhya); (16) laziness (le lo, kausīdya); (17) non-conscientiousness (bag med pa, pramāda); (18) forgetfulness (brjed nges pa, muṣita-smṛtitā); (19) non-introspection (shes bzhin ma yin pa, asaṃprajanya); (20) distraction (rnam par g/yeng pa, vikṣepya).",,,,,,,,,,,,
'cha' ,འཆའ་,bca'/ 'cha'/ bcas/ 'cha'/,(pra √jñā): {MSA}prajñapyate,"make; construct [e.g., a mudrā]; arrange [e.g., the legs in a meditation posture]; formulate",,,,,,,,,"get examples: phyag rgya bca'; rkang pa sems dpa'i skyil krung du bca'; khrims su bcas pa. Same as added to ""bca' ba"" and ""bcas pa"".",,,,,,,,,,,,
'cha' bar mdzad pa ,འཆའ་བར་མཛད་པ་,bca'/ 'cha'/ bcas/ 'cha'/,{MSA}prajñāpayati,make; construct,,,,,,,,,,,,,,,,,,,,,
'char ,འཆར་,"'char / 'char ' shar ' shar; or: shar / 'chard / 'char / shard [Thumi, p.246-to rise, start] {T}",,appear; dawn; shine; reflect; present themselves; manifest,,,,,,,,,Check tenses {T},don blo la mi 'char ro ,   snang ba gzhan mi 'char ba ni ,sgyu ma bzhin du 'char tshul phyin ci ma log pa ,,,,the meaning has not appeared to the mind,with respect to the non-appearance of other appearances ...{TGP 24},the unerring mode of illusory-like appearance{MSI 424},,,
'char ba ,འཆར་བ་,,{C}udayāti,appear; dawn; shine; reflect.,,{C}rises,,,,,,,,,,,,,,,,,,,
'char tshul ,འཆར་ཚུལ་,,,mode of appearing,,,,,,,,,,,,,,,,,,,,,
'chal pa ,འཆལ་པ་,'chal/ 'chald/ chal/ chald/,tshul khrims 'chal pa = {MSA}duḥśīla,faulty,,,,,,,'chal ba ,,,,,,,,,,,,,,
'chal pa'i tshul khrims ,འཆལ་པའི་ཚུལ་ཁྲིམས་,,{MSA}dauḥśīlya,faulty ethics,,,,,,,,,,,,,,,,,,,,,
'chal pa'i shes rab ,འཆལ་པའི་ཤེས་རབ་,,{MSA}dauṣprajñya,faulty wisdom,,,,,,,,,,,,,,,,,,,,,
'chal ba ,འཆལ་བ་,'chal/ 'chald/ chal/ chald/,,faulty,,,,,,,,,,,,,,,,,,,,,
'chal ba tshul khrims ,འཆལ་བ་ཚུལ་ཁྲིམས་,,{L}dauḥśīlya,faulty ethics,,,,,,,,,,,,,,,,,,,,,
'chal ba'i shes rab ,འཆལ་བའི་ཤེས་རབ་,,{C}dauṣprajñā,faulty wisdom,,{C}stupid(ity),,,,,,,,,,,,,,,,,,,
'chal tshul rtsom pa'i dri bral ,འཆལ་ཚུལ་རྩོམ་པའི་དྲི་བྲལ་,,{MSA}dauḥśīlyābhoga-vaimalaya,free from the stains of faulty ethics,,,,,,,,,,,,,,,,,,,,,
'chi ,འཆི་,'chi/ 'chi/ shi/ shi/,{C}mriyate,die; death,,,,,,,,,,,,,,,,,,,,,
'chi kha ma ,འཆི་ཁ་མ་,,,about to die,,,,,,,,,,,,,,,,,,,,,
'chi 'pho ,འཆི་འཕོ་,,{C}cyuti; {C} cyavana,transmigrate; transmigration; death; die,,{C}decease(d); fallen away from; decease,,,,,,,,,,,,,,,,,,,
'chi 'pho dang skye ba ,འཆི་འཕོ་དང་སྐྱེ་བ་,,{C}cyutopapatti,transmigration and arising; transmigration and rebirth,,{C}decease and rebirth,,,,,,,,,,,,,,,,,,,
'chi 'pho ba ,འཆི་འཕོ་བ་,,,transmigrate,,,,,,,,,,,,,,,,,,,,,
'chi 'pho ba dang skye ba dang mi skye ba ,འཆི་འཕོ་བ་དང་སྐྱེ་བ་དང་མི་སྐྱེ་བ་,,{C}cyuty-upapatty-anupattitā,non-arising of transmigration and rebirth,,{C}no genesis of decease and rebirth,,,,,,,,,,,,,,,,,,,
'chi 'pho ba yang ma yin ,འཆི་འཕོ་བ་ཡང་མ་ཡིན་,,{C}acyuti,no rebirth,,{C}no decease,,,,,,,,,,,,,,,,,,,
'chi ba ,འཆི་བ་,'chi/ 'chi/ shi/ shi/,"{LCh,C,MSA,MV}maraṇa; {C}mriyate; {C}mṛtyu; {C}marana; {C}cyavate",death; dying,,{C}dies,,,,,,,,,,,,,,,,,,,
'chi ba nges pa ,འཆི་བ་ངེས་པ་,,,definiteness of death{N},,,,,,,,,,,,,,,,,,,,,
'chi ba mi rtag pa ,འཆི་བ་མི་རྟག་པ་,,maraṇānitya,impermanence of death{Lati}; imminence of death,,,,,,,,,,,,,,,,,,,,,
'chi ba med pa'i sgo ,འཆི་བ་མེད་པའི་སྒོ་,,{C}amṛtasya-dvāra,door of deathlessness,,{C}'the door to the' undying,,,,,,,,,,,,,,,,,,,
'chi ba'i dus byas pa ,འཆི་བའི་དུས་བྱས་པ་,,{C}kāla-gata,,,{C}have died; (when he) has died,,,,,,,,,,,,,,,,,,,
'chi ba'i dus byas par gyur na ,འཆི་བའི་དུས་བྱས་པར་གྱུར་ན་,,{C}kāla-gata,,,{C}have died; (when he) has died,,,,,,,,,,,,,,,,,,,
'chi ba'i gnas skabs kyi bar du ,འཆི་བའི་གནས་སྐབས་ཀྱི་བར་དུ་,,{C}maraṇa-avasthā,,,{C}(until) his death,,,,,,,,,,,,,,,,,,,
'chi ba'i tshe ,འཆི་བའི་ཚེ་,,{MSA}maraṇa-kāla,time of death,,,,,,,,,,,,,,,,,,,,,
'chi med ,འཆི་མེད་,,{C}amṛta,,,{C}deathless,,,,,,,,,,,,,,,,,,,
'chi rim ji lta ba bzhin du ,འཆི་རིམ་ཇི་ལྟ་བ་བཞིན་དུ་,,,... as in the stages of death,,,,,,,,,,,,,,,,,,,,,
'chi srid ,འཆི་སྲིད་,,,the death state,,,,,,,,,,,,,,,,,,,,,
'ching grol ,འཆིང་གྲོལ་,'grol  'grold  grol  grold ,,bondage and liberation,,,,,,,,,,,,,,,,,,,,,
'ching ba ,འཆིང་བ་,cat shnyasb bcing / 'chings/ bcings/ chings/,"bandhana{LCh,C,MSA} ",bonds; bondage; binding,,bind; fetter;{C}imprisonment; bond; bondage; joined together by,,,,,,,"Check tenses, none match entry? {T}",,,,,,,,,,,,
'ching bar 'gyur ,འཆིང་བར་འགྱུར་,,{C}badhyate,,,{C}is bound,,,,,,,,,,,,,,,,,,,
'chings ,འཆིངས་,cat shnyasb bcing / 'chings/ bcings/ chings/,,(1) to bind; (2) structure ,,,,,,,,,,,,,,,,,,,,,
'chel ba ,འཆེལ་བ་,chel / 'chel / cheld / 'cheld [to cling; to be attached to] {T},,fixation ,,,,,,,,,,,,,,,,,,,,,
'chol ba ,འཆོལ་བ་,'chol/ 'chold/ chol/ chold/,,confused; mixed up,,,,,,,,,,,,,,,,,,,,,
'chos ,འཆོས་,bco / 'chos / bcos / chos [to make; to build] {T},tshul 'chos = {MSA}kuhanā; legs par 'chos pa = {MSA}praṇihita,,,"{T} to make, build",,,,,,,,,,,,,,,,,,,
ja ,ཇ་,,,tea,,,,,,,,,,,,,,,,,,,,,
ji ,ཇི་,,,what; how,,,,,,,,,,,,,,,,,,,,,
ji skad bstan pa ,ཇི་སྐད་བསྟན་པ་,bstan  ston  bstand  stond ,{C}yathā-anuśiṣṭa ,,,{C}as instructed,,,,,,,,,,,,,,,,,,,
ji skad du ,ཇི་སྐད་དུ་,,,as it is said ...,,,,,,,,,,,,,,,,,,,,,
ji skad du smras pa de ltar byed pa ,ཇི་སྐད་དུ་སྨྲས་པ་དེ་ལྟར་བྱེད་པ་,,{C}yathāvāditā-tathākāritā,,,"{C}as he speaks, so he acts",,,,,,,,,,,,,,,,,,,
ji skad du ... zhes bshad pa ,"ཇི་སྐད་དུ་[#ERROR 130: The tsheg bar (""syllable"") {...} is essentially nothing.]་ཞེས་བཤད་པ་",,{MSA}yathoktaṃ,as it is said,,,,,,,,,this is often translated with quotation marks,,,,,,,,,,,,
ji skad du ... zhes gsungs pa ,"ཇི་སྐད་དུ་[#ERROR 130: The tsheg bar (""syllable"") {...} is essentially nothing.]་ཞེས་གསུངས་པ་",,{MSA}yathoktaṃ,as it is said,,,,,,,,,this is often translated with quotation marks,,,,,,,,,,,,
ji skad smras ,ཇི་སྐད་སྨྲས་,,{C}yathā-vādin,,,{C}as he speaks,,,,,,,,,,,,,,,,,,,
ji skad bshad pa ,ཇི་སྐད་བཤད་པ་,,{C}yathokta,,,{C}as it has been explained,,,,,,,,,,,,,,,,,,,
ji snyed ,ཇི་སྙེད་,,yāvat,as much as; as great as; as many as; however much; however many,,,,,,,,,,,,,,,,,,,,,
ji snyed pa ,ཇི་སྙེད་པ་,,yaḥ kāścana,varieties; the varieties [i.e. conventional truths],,,,,,,,,,,,,,,,,,,,,
ji snyed pa mkhyen pa'i rnam mkhyen ,ཇི་སྙེད་པ་མཁྱེན་པའི་རྣམ་མཁྱེན་,mkhyen  mkhyen  mkhyend  mkhyend ,,an exalted knower of all aspects that knows conventional truths,,,,,,,,,"one of the two types of Mahāyāna path of no more learning (theg chen gyi mi slob lam), the other being exalted knower of all aspects that knows the ultimate truth (ji lta ba mkhyen pa'i rnam mkhyen)SW: have we changed translations of 'ji snyed pa' and 'ji lta ba' from ""varieties and modes"" to ""conventional truths and ultimate truths""?",,,,,,,,,,,,
ji snyed pa rtogs pa'i mkhyen pa ,ཇི་སྙེད་པ་རྟོགས་པའི་མཁྱེན་པ་,mkhyen  mkhyen  mkhyend  mkhyend ,,exalted knowledge realizing the varieties of phenomena,,,,,,,,,,,,,,,,,,,,,
ji snyed pa gzigs pa'i ye shes ,ཇི་སྙེད་པ་གཟིགས་པའི་ཡེ་ཤེས་,,yāvajjñāna,exalted knower of the varieties,,,,,,,,,,,,,,,,,,,,,
ji snyed yod pa yid ,ཇི་སྙེད་ཡོད་པ་ཡིད་,,yāvat(tā),,,{C}as great; as much; as long as; until,,,,,,,,,,,,,,,,,,,
ji lta ji ltar ... de lta de ltar ,"ཇི་ལྟ་ཇི་ལྟར་[#ERROR 130: The tsheg bar (""syllable"") {...} is essentially nothing.]་དེ་ལྟ་དེ་ལྟར་",,{C}yathā yathā ... tathā tathā,,,{C}as ... so,,,,,,,,,,,,,,,,,,,
ji lta ba ,ཇི་ལྟ་བ་,,{MSA}yathā,the mode; law; how; ultimate truth; exactly; mode [of existence],,,,,,,,,,,,,,,,,,,,,
ji lta ba mkhyen pa'i rnam mkhyen ,ཇི་ལྟ་བ་མཁྱེན་པའི་རྣམ་མཁྱེན་,mkhyen  mkhyen  mkhyend  mkhyend ,,an exalted knower of all aspects that knows the ultimate truth,,,,,,,,,"one of the two types of Mahāyāna path of no more learning (theg chen gyi mi slob lam), the other being exalted knower of all aspects that knows conventional truths (ji snyed pa mkhyen pa'i rnam mkhyen)SW: have we changed translations of 'ji snyed pa' and 'ji lta ba' from ""varieties and modes"" to ""conventional truths and ultimate truths""?",,,,,,,,,,,,
ji lta ba ji bzhin du ,ཇི་ལྟ་བ་ཇི་བཞིན་དུ་,,{L}yathā-bhūta,exactly; as it really is,,in the same way,,,,,,,,,,,,,,,,,,,
ji lta ba rtogs pa'i mkhyen pa ,ཇི་ལྟ་བ་རྟོགས་པའི་མཁྱེན་པ་,mkhyen  mkhyen  mkhyend  mkhyend ,,exalted knowledge realizing the mode of phenomena,,,,,,,,,,,,,,,,,,,,,
ji lta ba bzhin ,ཇི་ལྟ་བ་བཞིན་,,{C}yathāvat; {C}yathāvattā,exactly; as it really is,,{C}fact; in accordance with fact; which exists; the state of reality such as is actually is,,,,,,,,,,,,,,,,,,,
ji lta ba bzhin du ,ཇི་ལྟ་བ་བཞིན་དུ་,,{L}yathā-bhūta; {MSA}yathā; yathāvat,exactly; as it really is; in that way,,{C}in the same way,,,,,,,,,,,,,,,,,,,
ji lta ba bzhin du yod pa nyid ,ཇི་ལྟ་བ་བཞིན་དུ་ཡོད་པ་ཉིད་,,yathāvat(tā),exactly; as it really is,,{C}fact; in accordance with fact,,,,,,,,,,,,,,,,,,,
ji lta ba gzigs pa'i ye shes ,ཇི་ལྟ་བ་གཟིགས་པའི་ཡེ་ཤེས་,,yathavajjñāna,exalted knower of the mode,,,,,,,,,,,,,,,,,,,,,
ji lta bar ,ཇི་ལྟ་བར་,,{MSA}yathā,the mode; law; how; ultimate truth; exactly; mode [of existence],,,,,,,,,,,,,,,,,,,,,
ji lta bu ,ཇི་ལྟ་བུ་,,{MSA}yādṛśya; {MV}yathā; yādṛśa,[what-like]; how; what,,,,,,,,,Check Sanskrit {M 5.pin}??? {T},yon tan jio ltu bu dang ldan ,,,,,,what qualities did he possess?,,,,,
ji lta bur grub pa'i shes rab kyis ,ཇི་ལྟ་བུར་གྲུབ་པའི་ཤེས་རབ་ཀྱིས་,'grub  'grub  'grubs/grub  grubs ,{C}yathā-adhika (=yena madhya-mṛdv-ādinā prākareṇa-adhikayā-adhimuktyā samprayuktā yā prajñā sā-api yathādhikā),how it is established (by exalted wisdom),,{C}using to the fullest extent,,,,,,,,,,,,,,,,,,,
